                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                 1.2743,                0.71678,                0.85257,                 0.9655,                      1,                  0.995,                  0.796,                   1.32,                 1.0347,                0.62694,              0.0006536,              0.0006536,              0.0006536
                    138,                  1.168,                0.71852,                0.83005,                0.96659,                      1,                  0.995,                  0.796,                 1.1098,                0.98507,                0.61138,              0.0006437,              0.0006437,              0.0006437
                    139,                 1.4783,                0.73237,                0.82914,                0.96808,                      1,                  0.995,                 0.8955,                0.92511,                 0.9248,                0.60235,              0.0006338,              0.0006338,              0.0006338
                    140,                 1.3535,                0.71593,                0.87628,                0.96888,                      1,                  0.995,                 0.8955,                0.84377,                0.88271,                0.59869,              0.0006239,              0.0006239,              0.0006239
                    141,                 1.1565,                0.73799,                0.78683,                0.96888,                      1,                  0.995,                 0.8955,                0.84377,                0.88271,                0.59869,               0.000614,               0.000614,               0.000614
                    142,                 1.3699,                0.81494,                 0.8858,                0.96786,                      1,                  0.995,                 0.8955,                0.88907,                0.86657,                0.59864,              0.0006041,              0.0006041,              0.0006041
                    143,                 1.2235,                0.70175,                0.85635,                0.96855,                      1,                  0.995,                 0.8955,                0.98888,                0.87444,                0.60185,              0.0005942,              0.0005942,              0.0005942
                    144,                 1.4195,                 0.8443,                 0.8151,                0.96819,                      1,                  0.995,                  0.796,                 1.1281,                0.88568,                0.60733,              0.0005843,              0.0005843,              0.0005843
                    145,                 1.3058,                0.78411,                0.76486,                0.96819,                      1,                  0.995,                  0.796,                 1.1281,                0.88568,                0.60733,              0.0005744,              0.0005744,              0.0005744
                    146,                 1.4894,                0.77784,                0.83581,                0.96708,                      1,                  0.995,                  0.796,                 1.2087,                0.89316,                0.61081,              0.0005645,              0.0005645,              0.0005645
                    147,                 1.2039,                0.70607,                0.87734,                  0.967,                      1,                  0.995,                  0.796,                 1.2191,                0.88537,                0.61105,              0.0005546,              0.0005546,              0.0005546
                    148,                 1.1853,                 0.6628,                0.85888,                0.96699,                      1,                  0.995,                  0.796,                 1.2288,                0.88442,                0.61269,              0.0005447,              0.0005447,              0.0005447
                    149,                 1.3951,                0.75377,                0.86896,                0.96699,                      1,                  0.995,                  0.796,                 1.2288,                0.88442,                0.61269,              0.0005348,              0.0005348,              0.0005348
                    150,                 1.0788,                0.65364,                0.79315,                0.96732,                      1,                  0.995,                  0.796,                 1.2314,                0.88278,                0.61501,              0.0005249,              0.0005249,              0.0005249
                    151,                 1.3339,                0.74126,                0.85263,                 0.9682,                      1,                  0.995,                  0.796,                 1.2418,                0.87986,                 0.6181,               0.000515,               0.000515,               0.000515
                    152,                 1.3115,                0.71903,                0.82189,                0.96814,                      1,                  0.995,                  0.796,                 1.3518,                0.89136,                0.62521,              0.0005051,              0.0005051,              0.0005051
                    153,                 1.2667,                0.66765,                0.85362,                0.96814,                      1,                  0.995,                  0.796,                 1.3518,                0.89136,                0.62521,              0.0004952,              0.0004952,              0.0004952
                    154,                0.95538,                0.59933,                0.82437,                0.96873,                      1,                  0.995,                 0.6965,                 1.4747,                0.91511,                0.63282,              0.0004853,              0.0004853,              0.0004853
                    155,                 1.3116,                0.72119,                0.88755,                0.96799,                      1,                  0.995,                 0.6965,                  1.506,                0.92408,                0.63665,              0.0004754,              0.0004754,              0.0004754
